单词,音标,中文解释,是否为初中单词
bathrobe,ˈbɑ:θrəʊb,n. 浴衣；睡衣,False
bathtub,ˈbɑ:θtʌb,n. 浴缸；澡盆,False
battery,ˈbætri,n.  电池， 蓄电池； 排炮， 炮组； 一系列， 一套,False
battle,ˈbætl,"vi.  战斗， 斗争
n. 战斗，作战；斗争，决斗",False
battleground,'bætlɡraʊnd,n. 战场,False
bay,beɪ,"n. 海湾；狗吠声
v. 向…吠叫",False
be,bi,"auxiliary verb. at
auxiliary verb. odds
auxiliary verb. with
sb与. 有争执",False
beam,bi:m,"n. 横梁；光线；电波；船宽；[计量] 秤杆
v. 发送；以梁支撑；用…照射；流露",False
beancurd,'bi:nkɜ:d,n. 豆腐,False
beard,bɪəd,"v. 公然反对；抓…的胡须
n. 胡须；颌毛",False
beast,bi:st,n.  兽， 野兽， 牲畜； 凶残的人， 令人厌憎的人,False
beauty,ˈbju:ti,n.  美， 美丽； 美人； 美的东西,False
bedclothes,ˈbedkləʊðz,n. 床上用品；铺盖,False
beddings,'bedɪŋ,"n. 寝具；（建筑）[建] 基床；（家畜）草垫
adj. 适于花坛种植的
vt. 把…栽入苗床（bed的ing形式）
vi. 睡（bed的ing形式）",False
bee,bi:,n. 蜜蜂，蜂；勤劳的人,False
beehive,ˈbi:haɪv,n.  蜂窝， 蜂箱,False
beer,bɪə(r),"n. 啤酒
vi. 喝啤酒",False
beg,beg,"v. 乞讨；恳求；回避正题
n. (Beg)人名；(德、塞、巴基)贝格",False
beginning,bɪˈgɪnɪŋ,"n. 开始；起点
v. 开始；创建（begin的ing形式）",False
behalf,bɪˈhɑ:f,n. 利益，维护，支持,False
behave,bɪˈheɪv,"vi. 表现，举止；运转，做出反应
vt.  检点自己的行为",False
behaviour,bɪˈheɪvjə(r),n. 行为；习性；运行状况（=behavior）,False
being,ˈbi:ɪŋ,"n. 存在；生命；本质；品格
adj. 存在的；现有的",False
Belgium,'beldʒәm,n. 比利时（西欧国家，首都布鲁塞尔Brussels）,False
belief,bɪˈli:f,n.  [C] 信条， 信念， 信仰； [U] 信任， 相信,False
belly,ˈbeli,"n. 腹部；胃；食欲
v. 涨满；鼓起",False
belong,bɪˈlɒŋ,vi.  属于， 是…的成员； 归属于； 应被放置， 应归入； 适合， 合得来,False
belt,belt,"n. 带；腰带；地带
v. 用带子系住；用皮带抽打",False
bench,bentʃ,"n. 长凳；工作台；替补队员
v. 给…以席位；为…设置条凳",False
bend,bend,"n. 弯；拐角
v. (过去式 bent, 过去分词 bent) 使弯曲；弯身；弯腰",False
beneath,bɪˈni:θ,"adv.  在底下； 在下方
prep. 在…之下；在…下面；劣于，比不上；在…掩盖下；不值得，不配；在…支配下，在…影响下",False
beneficial,ˌbenɪˈfɪʃl,"adj. 有益的, 受益的, [法律]有使用权的",False
benefit,ˈbenɪfɪt,"vi.  得益
n. 好处，益处，帮助；津贴，救济金，保险金
vt. 有益于，对…有好处",False
bent,bent,"adj. 被弄弯的，弯曲的
n.  爱好， 天赋",False
besides,bɪˈsaɪdz,"adv. 此外；并且
prep. 于…之外；除…以外",False
betray,bɪˈtreɪ,vt.  背叛， 出卖； 失信于， 辜负； 泄露； 暴露， 显露,False
beyond,bɪˈjɒnd,"prep. 超过；越过；那一边；在较远的一边
adv. 在远处；在更远处
n. 远处",False
bicycle,ˈbaɪsɪkl,"n. (bike)自行车
v. 骑自行车",False
bid,bɪd,"vi. 喊价，出价，投标
n. 企图，努力；喊价，出价，投标
vt.  出， 喊； 祝， 表示； 命令， 吩咐",False
bingo,ˈbɪŋgəʊ,n. 宾戈游戏,False
biochemistry,ˌbaɪəʊˈkemɪstri,n.  生物化学,False
biography,baɪˈɒgrəfi,n. （由他人撰写的）传记；传记文学,False
biology,baɪˈɒlədʒi,n. （一个地区全部的）生物；生物学,False
birdcage,ˈbɜ:dkeɪdʒ,n. 鸟笼；鸟笼状物；信号灯；宿舍,False
birthplace,ˈbɜ:θpleɪs,n.  出生地， 故乡,False
bishop,ˈbɪʃəp,n. （基督教的）主教；（国际象棋的）象,False
bitter,ˈbɪtə(r),"adj. 苦的；痛苦的；尖刻的；充满仇恨的
n. 苦味；苦啤酒
adv. 激烈地；严寒刺骨地
v. 使变苦",False
blame,bleɪm,"vt. 责怪，埋怨；把…归咎于
n.  责备； 过错， 责任",False
blank,blæŋk,"adj. 空白的；空虚的；单调的
n. 空白；空虚；空白表格
v. 使…无效；使…模糊；封锁",False
blanket,ˈblæŋkɪt,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
v. 覆盖，掩盖；用毯覆盖",False
bleed,bli:d,"vi.  出血， 流血； 泌脂
vt. 勒索…的钱",False
bless,bles,"v. 祝福；保佑；赞美
n. (Bless)人名；(英、意、德、匈)布莱斯",False
block,blɒk,"n. 块；街区；大厦；障碍物
v. 阻止；阻塞；限制；封盖
adj. 成批的，大块的；交通堵塞的",False
blow,bləʊ,"vi. 吹，充气；吹响，吹奏；爆炸，炸毁
n.  打， 打击",False
boating,ˈbəʊtɪŋ,"n. 划船
adj. 划船的
v. 划船（boat的ing形式）",False
boil,bɔɪl,"v. 煮沸，沸腾；激动，激昂
n. 沸腾，煮沸；疖子",False
bomb,bɒm,"n. 炸弹；高压喷雾器
vt.  投弹， 轰炸",False
bond,bɒnd,"v.  黏合， 结合
n. 联结，联系；黏结剂，黏合剂；公债，债券；契约，合同",False
bone,bəʊn,"n. 骨；骨骼
v. 剔去的骨；施骨肥于",False
bonus,ˈbəʊnəs,n.  奖金， 红利； 补贴， 额外津贴； 额外给予的东西,False
bookcase,ˈbʊkkeɪs,n. [家具] 书柜，书架,False
bookmark,ˈbʊkmɑ:k,n. 书签（等于bookmarker）；标记,False
bookshelf,ˈbʊkʃelf,n. 书架,False
bookstore,'bʊkstɔ:(r),n. 书店（等于bookshop）,False
boom,bu:m,"vi.  激增， 繁荣， 迅速发展； 发出隆隆声
n. 激增，繁荣，迅速发展；隆隆声，嗡嗡声",False
boot,bu:t,"v. 引导；踢；解雇；使穿靴
n. 靴子；踢；汽车行李箱",False
booth,bu:ð,n.  小房间， 公用电话亭， 岗亭； 售货棚， 货摊,False
border,ˈbɔ:də(r),"vi. 和…接近，与…连接；近似
n. 边，边缘；边界，国界
vt.  给…加上边， 围； 邻接， 毗连",False
botanical,bəˈtænɪkl,"adj. 植物学的
n.  植物性药材",False
botany,ˈbɒtəni,n. 植物学；地区植物总称,False
bounce,baʊns,"v. 弹起，反弹；上下晃动
n.  弹跳； 反弹力； 活力， 精力",False
bound,baʊnd,"vi. 跳跃；弹回，反跃
adj. 一定的；有义务的
vt. 跳跃；弹回，反跃；成为…的界限，给…划界
n.  跳跃； 界限， 限制",False
boundary,ˈbaʊndri,n. 分界线， 边界  <,False
bowling,ˈbəʊlɪŋ,"n. 滚木球戏；保龄球戏
v. 打保龄球（bowl的现在分词）",False
boxing,ˈbɒksɪŋ,"n. 拳击；装箱；围模；做箱的材料
v. 将…装入盒中（box的ing形式）",False
boycott,ˈbɔɪkɒt,vt.  联合抵制； 联合排斥某国货物或与某国绝交,False
brain,breɪn,"n. 脑，大脑
v. 重击〔某人〕的头部〔幽默用法〕",False
brake,breɪk,"vi. 制动；被刹住
n. 闸，刹车，制动器
vt.  刹住， 用闸放慢速度",False
branch,brɑ:ntʃ,"v.  分离； 分岔
n. 树枝，枝；分部，分号，分公司；分科，分支；支流，支线",False
brand,brænd,"n. 品牌，商标，牌子；烙印
vt.  铭刻于， 打烙印于， 以烙铁打； 加污名于， 谴责",False
bravery,'breɪvərɪ,n.  勇敢， 勇气,False
breakthrough,ˈbreɪkθru:,n.  突破， 突破性进展， 重要的新发现,False
breast,brest,"n. 乳房，胸部；胸怀；心情
v. 以胸对着；与…搏斗",False
breath,breθ,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音,False
breathe,bri:ð,v. 呼吸；低语；松口气；（风）轻拂,False
breathless,ˈbreθləs,"adj. 无声息的, 喘不过气来的",False
brewery,ˈbru:əri,n.  啤酒厂， 酿酒厂,False
brick,brɪk,"n. 砖，砖块；砖形物；心肠好的人
v. 用砖砌
adj. 用砖做的；似砖的",False
bride,braɪd,n. 新娘；姑娘，女朋友,False
bridegroom,ˈbraɪdgru:m,n.  新郎,False
brief,bri:f,"adj. 简短的，简洁的；短暂的，草率的
n. 摘要，简报；概要，诉书
v. 简报，摘要；作…的提要",False
brilliant,ˈbrɪliənt,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的,False
broad,brɔ:d,"adj. 宽的，辽阔的；显著的；大概的
n. 宽阔部分
adv. 宽阔地",False
broadcast,ˈbrɔ:dkɑ:st,"v. 播送，播放；（无线电或电视）广播；播撒（种子）
n. 广播；播音；广播节目
adj. 广播的",False
brochure,ˈbrəʊʃə(r),n. （作宣传或介绍用的）小册子；指南,False
broom,bru:m,"n. 扫帚；金雀花
v. 扫除",False
brotherhood,ˈbrʌðəhʊd,n. 兄弟关系；手足情谊；四海之内皆兄弟的信念,False
brunch,brʌntʃ,n.  早午饭,False
bucket,ˈbʌkɪt,"n. 桶，水桶；铲斗；一桶的量
v. 倾盆而下；颠簸着行进",False
Buddhism,'bʊdɪz(ə)m,n. 佛教，释教,False
Buddhist,'budist,"n. 佛教徒
adj. 佛教的",False
budget,ˈbʌdʒɪt,"vi. 编预算，作安排
adj.  低廉的， 收费公道的
n. 预算，预算拨款
vt. 规划，安排",False
buffet,ˈbʊfeɪ,"n. 自助餐；小卖部；打击；猛烈冲击
v. 与…搏斗；连续猛击
adj. 自助的；自助餐的",False
build,bɪld,"vi. 建造，建筑；建设，建立；增大，加强
vt. 建造，修建；建立，创立
n.  体型， 体格",False
bun,bʌn,n.  馒头； 小甜面包,False
bunch,bʌntʃ,"vi.  集中， 挤在一起； 形成一束
n. 群，伙；束，串，捆
vt. 使成一束",False
bungalow,ˈbʌŋgələʊ,n. 平房；小屋,False
burden,ˈbɜ:dn,"n. 负担，负重；负荷，载重；义务，责任
vt.  加负荷于， 使负重； 加重压于； 烦扰",False
bureaucratic,ˌbjʊərəˈkrætɪk,adj. 官僚的；官僚政治的,False
burglar,ˈbɜ:glə(r),n. 窃贼， 破门盗窃者,False
burial,ˈberiəl,"n. 埋葬；葬礼；弃绝
adj. 埋葬的",False
burst,bɜ:st,"vi. 爆炸，破裂；挤满，充满；突然发作，突然发生
vt. 使爆裂
n.  突然破裂， 爆发； 脉冲",False
bury,ˈberi,"v. 埋葬；隐藏
n. (Bury)人名；(法)比里；(英、西)伯里；(德、意、罗、波、捷、匈)布里；(俄)布雷",False
bush,bʊʃ,"n. 灌木；矮树丛
v. 以灌木装饰；使…精疲力竭
adj. 如灌木般长得低矮的；粗野的",False
businessman,ˈbɪznəsmæn,n. 商人,False
businesswoman,ˈbɪznəsmæn,n. 妇女实业家,False
butcher,ˈbʊtʃə(r),"n. 肉商，肉贩，屠夫
vt.  屠宰， 残杀",False
butter,ˈbʌtə(r),"v. 涂黄油于；讨好
n. 黄油；奶油；奉承话",False
butterfly,ˈbʌtəflaɪ,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人,False
button,ˈbʌtn,"n. 按钮；纽扣
v. 扣住；扣紧；在…上装纽扣",False
cab,kæb,"n. 驾驶室；出租汽车；出租马车
v. 乘出租马车（或汽车）",False
cabbage,ˈkæbɪdʒ,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）,False
cafeteria,ˌkæfəˈtɪəriə,n.  自助餐馆； 自助食堂,False
cage,keɪdʒ,"n. 笼，兽笼；牢房，监狱
v. 把…关进笼子；把…囚禁起来",False
calculate,ˈkælkjuleɪt,vt.  计算， 核算； 推测， 估计； 打算， 计划,False
camel,ˈkæml,"n. [畜牧][脊椎] 骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸",False
campaign,kæmˈpeɪn,"vi.  参加活动， 从事活动； 作战
n. 战役；活动，竞选运动",False
canal,kəˈnæl,"n. 运河；[地理] 水道；[建] 管道；灌溉水渠
v. 在…开凿运河",False
cance,, [人名] 坎斯,False
cancel,ˈkænsl,"vi. 相互抵消
vt. 取消；删去， 划掉； 把…作废",False
candidate,ˈkændɪdət,n.  候选人， 候补者； 申请求职者； 报考者,False
canteen,kænˈti:n,n. 食堂；小卖部；餐具箱；水壶,False
capsule,ˈkæpsju:l,"n. 胶囊；[植] 蒴果；太空舱；小容器
adj. 压缩的；概要的
v. 压缩；简述",False
captain,ˈkæptɪn,"n. 队长，首领；船长；上尉；海军上校
v. 指挥；率领",False
caption,ˈkæpʃn,n. （图片上的）说明文字；（电视、电影）字幕；（杂志等文章的）标题；,False
carbon,ˈkɑ:bən,"n. [化学] 碳；碳棒；复写纸
adj. 碳的；碳处理的",False
carpenter,ˈkɑ:pəntə(r),"n. 木匠，木工
v. 当木匠，做木匠工作",False
carpet,ˈkɑ:pɪt,"v. 在…上铺地毯，把地毯铺在…上；斥责
n. 地毯；地毯状覆盖物",False
carriage,ˈkærɪdʒ,n. 运输；运费；四轮马车；举止；客车厢,False
carrier,'kæriә,n.  运输公司， 运输工具； 带菌者； 载重架， 置物架； 搬运人， 承运人,False
carve,kɑ:v,"v. 雕刻；切开；开创
n. (Carve)人名；(西、瑞典)卡韦",False
case,keɪs,n.  事例， 实例； 情况， 事实； 病例； 案件； 箱， 盒； 手提箱,False
cash,kæʃ,"n. 现款，现金
v. 将…兑现；支付现款",False
cast,kɑ:st,"v.  投射； 把…加于； 投， 扔； 丢弃， 剔除； 脱落， 蜕； 浇铸， 铸造
n.  演员表， 全体演员； 石膏绷带； 铸模， 铸件； 外貌， 特征",False
castle,ˈkɑ:sl,"n. 城堡；象棋中的车
v. 置…于城堡中；筑城堡防御",False
casual,ˈkæʒuəl,adj.  非正式的， 随便的； 漫不经心的； 漠不关心的， 冷淡的； 偶然的， 碰巧的； 临时的,False
catalogue,ˈkætəlɒg,"n. 目录；（美）大学情况一览
v. 把…编入目录",False
catastrophe,kəˈtæstrəfi,n.  灾难； 灾祸； 横祸,False
category,ˈkætəgəri,"n. 种类，部属，类目,范畴，类型",False
cater,ˈkeɪtə(r),"v. 投合，迎合；满足需要；提供饮食及服务
n. (Cater)人名；(英)凯特",False
cathedral,kəˈθi:drəl,"adj.  大教堂的
n. 大教堂；",False
catholic,ˈkæθlɪk,"adj. 广泛的，包罗万象的；[C-]天主教的
n.  [C-]天主教",False
cattle,ˈkætl,n. 牛；牲畜（骂人的话）；家畜；无价值的人,False
caution,ˈkɔ:ʃn,"n. 小心，谨慎；注意，警告
vt.  警告， 劝…小心",False
cautious,ˈkɔ:ʃəs,adj.  十分小心的， 谨慎的,False
ceiling,ˈsi:lɪŋ,n.  天花板， 顶篷； 最高限度， 最大限额,False
celebration,ˌselɪˈbreɪʃn,n.  庆祝会， 典礼， 宗教仪式,False
cell,sel,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中",False
cellar,ˈselə(r),"n. 地窖；酒窖；地下室
vt. 把…藏入地窖",False
cent,sent,n. 分；一分的硬币；森特（等于半音程的百分之一）,False
centigrade,ˈsentɪgreɪd,"adj. 摄氏温度计的； 百分度的
n. 摄氏温度计； 百分度",False
centimetre,ˈsentɪmi:tə(r),n. 厘米 (<美>centimeter),False
centre,ˈsentə(r),"v. 以…为中心
n. 中心
adj. 中央的",False
ceremony,ˈserəməni,n. 典礼，仪式；礼节，礼仪；客套，虚礼,False
certificate,səˈtɪfɪkət,"v. 发给证明书；以证书形式授权给…；用证书批准
n. 证书；执照，文凭",False
chain,tʃeɪn,"n. 链子，链条
v. 〔尤指为防逃跑或被盗而用链条〕拴住，束缚",False
chairman,ˈtʃeəmən,n.  主席； 会议主持人； 董事长,False
chairwoman,ˈtʃeəwʊmən,n. 女主席；女议长,False
challenge,ˈtʃæləndʒ,"n. 艰巨的任务；怀疑，质问；挑战，邀请比赛
vt.  反对， 公然反抗； 向…挑战； 对…质疑， 对…怀疑",False
challenging,ˈtʃælɪndʒɪŋ,"adj. 挑战的；引起挑战性兴趣的
v. 要求；质疑；反对；向…挑战；盘问（challenge的ing形式）",False
champion,ˈtʃæmpiən,"n. 冠军；拥护者；战士
v. 支持；拥护
adj. 优胜的；第一流的",False
changeable,ˈtʃeɪndʒəbl,adj. 无常的；可改变的；易变的；不定的,False
channel,ˈtʃænl,"v. 引导； 集中
n. 海峡， 水道；信道， 频道；途径， 渠道",False
chant,tʃɑ:nt,"vt. 反复有节奏地喊叫；吟诵，咏唱
n.  反复有节奏的喊叫； 赞美诗， 圣歌",False
chaos,ˈkeɪɒs,"n. 混乱, 混沌(宇宙未形成前的情形)",False
chapter,ˈtʃæptə(r),"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节",False
character,ˈkærəktə(r),"n. 性格，品质；特性；角色；[计] 字符
v. 印，刻；使具有特征",False
characteristic,ˌkærəktəˈrɪstɪk,"adj. 典型的；特有的；表示特性的
n. 特征；特性；特色",False
charge,tʃɑ:dʒ,"vi.  收费， 要价； 冲锋， 向前冲
n. 价钱，费用；管理，照管；控告，指责；电荷，充电，负荷
vt. 索，要…支付；控告，指责；使充电，使充满",False
chart,tʃɑ:t,"n. 图表；海图；图纸；排行榜
v. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展",False
chat,tʃæt,"n&v.  [chatted-chatted, chatting] 闲谈， 聊天",False
cheat,tʃi:t,"vi. 行骗；作弊
vt. 欺骗，诈取
n.  欺骗， 欺骗行为； 骗子",False
cheek,tʃi:k,"n. 面颊，脸颊；臀部
v. 无礼地向…讲话，对…大胆无礼",False
cheerful,ˈtʃɪəfl,adj.  快乐的， 愉快的； 使人感到愉快的,False
cheers,tʃɪəz,v. 感谢；谢谢；再见,False
chef,ʃef,n.  厨师长， 厨师,False
chemical,ˈkemɪkl,"n. 化学制品，化学药品
adj. 化学的",False
chemist,ˈkemɪst,n. 化学家；化学工作者；药剂师；炼金术士,False
cheque,tʃek,n.  支票,False
chest,tʃest,n. 胸，胸部；衣柜；箱子；金库,False
chew,tʃu:,"n. 咀嚼；咀嚼物
v. 嚼碎，咀嚼",False
chick,tʃɪk,"n. 小鸡；小鸟；少妇
adj. 胆小的；懦弱的",False
chief,tʃi:f,"adj.  主要的， 首要的； 主任的， 首席的， 为首的
n. 首领，领袖；酋长，族长",False
childhood,ˈtʃaɪldhʊd,n.  童年， 幼年， 早期,False
chimney,ˈtʃɪmni,n. 烟囱，烟筒；玻璃罩,False
chips,tʃɪps,n. [食品] 炸土豆条；小木片；（作赌注用的）圆形筹码；缺口（chip的复数形式）,False
choir,ˈkwaɪə(r),"n. 唱诗班；合唱队；舞蹈队
v. 合唱",False
choke,tʃəʊk,"v. 呛；使窒息；阻塞；抑制；扑灭
n. 窒息；噎；[动力] 阻气门",False
chopsticks,'tʃɒp.stɪk,n.  筷子,False
chorus,ˈkɔ:rəs,"n. 合唱队；合唱，合唱曲；副歌，叠句；齐声，齐声说的话
vt.  齐声说， 随声附和",False
Christian,'kristʃәn,"n. 基督徒，信徒
adj. 基督教的；信基督教的",False
cigar,sɪˈgɑ:(r),n. 雪茄烟，叶卷烟,False
cigarette,ˌsɪgəˈret,n.  香烟， 纸烟， 卷烟,False
circuit,ˈsɜ:kɪt,"n. [电子] 电路，回路；巡回；一圈；环道
v. 环行",False
circulate,ˈsɜ:kjəleɪt,vt.   流通，  运行，  循环；  传播,False
circumstance,ˈsɜ:kəmstəns,n.  情况， 条件； 境遇， 境况； 经济情况,False
circus,ˈsɜ:kəs,n.  马戏， 马戏团； 喧闹的场面； 环形广场,False
citizen,ˈsɪtɪzn,n. 市民，城镇居民；公民,False
civil,ˈsɪvl,"adj. 公民的；民间的；文职的；有礼貌的；根据民法的
n. (Civil)人名；(土)吉维尔；(法)西维尔",False
civilian,səˈvɪliən,"adj. 民用的；百姓的，平民的
n. 平民，百姓",False
civilization,ˌsɪvəlaɪˈzeɪʃn,n.  文明， 文化； 开化,False
clap,klæp,"v. 拍，拍手；匆忙处理；迅速移动；带进；投入
n.  拍手， 鼓掌； 轻拍声， 掌声； 霹雳声； 轰隆声",False
clarify,ˈklærəfaɪ,v. 澄清，使液体清洁,False
classic,ˈklæsɪk,"adj. 最优秀的，典型的，标准的；传统式样的，典雅的
n.  文学名著， 经典作品， 杰作； 优秀的典范； 古典文学， 古典语文研究",False
classify,ˈklæsɪfaɪ,vt.  把…分类， 把…分级,False
claw,klɔ:,"n. 爪；螯，钳；爪形器具
v. 用爪抓（或挖）",False
clay,kleɪ,"n. [土壤] 粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理",False
cleaner,ˈkli:nə(r),n. [化工] 清洁剂；清洁工；干洗店；干洗商；洗洁器,False
clearly,ˈklɪəli,adv. 清晰地；明显地；无疑地；明净地,False
clerk,klɑ:k,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
v. 当销售员，当店员；当职员",False
climate,ˈklaɪmət,n.  气候； 气候区， 地带； 风气， 氛围； 思潮,False
clinic,ˈklɪnɪk,n. 诊所，医务室；会诊；会诊时间；门诊时间,False
clone,kləʊn,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
v. 无性繁殖，复制",False
clothing,ˈkləʊðɪŋ,"n. （总称）[服装] 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣",False
clumsy,ˈklʌmzi,adj.  笨拙的； 不得体的， 冒犯人的； 复杂难懂的， 难处理的,False
cock,kɒk,"n. 公鸡；龙头；雄鸟；头目
v. 使竖起；使耸立；使朝上",False
cocoa,ˈkəʊkəʊ,n. 可可粉；可可豆；可可饮料；深褐色,False
coincidence,kəʊˈɪnsɪdəns,"n. 一致, 相合, 同时发生或同时存在(尤指偶然)的事",False
coke,kəʊk,"n. 焦炭；可卡因；可口可乐（Coca-Cola）
v. 焦化",False
collar,ˈkɒlə(r),"n. 衣领；颈圈
v. 抓住；给…上领子；给…套上颈圈",False
colleague,ˈkɒli:g,n.  同事， 同僚,False
collection,kəˈlekʃn,n.  搜集， 聚集， 积聚； 收集， 收取； 收藏品， 收集的东西,False
collision,kəˈlɪʒn,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧,False
colour,ˈkʌlə(r),"v. 把…涂颜色，粉饰；歪曲；使脸红
n. 颜色；风格；气色，面色；外貌",False
comb,kəʊm,"v.  梳理； 搜寻， 彻底搜查
n. 梳子；蜂巢；肉冠，冠状物",False
combine,kəmˈbaɪn,"v.  结合， 联合； 化合
n.  联合企业； 联合收割机",False
comedy,ˈkɒmədi,n.  喜剧； 喜剧性， 滑稽， 幽默,False
comfort,ˈkʌmfət,"n. 安慰；舒适；安慰者
v. 安慰；使（痛苦等）缓和",False
comma,ˈkɒmə,n. 逗号；停顿,False
command,kəˈmɑ:nd,n&v.  命令， 指挥； 统帅， 支配； 控制； 掌握， 精通； 俯视； 赢得,False
comment,ˈkɒment,"vi.  评论
n. 评论，意见，注释；闲话，议论",False
commit,kəˈmɪt,vt.  犯， 干； 把…托付给； 提交； 使承担义务， 使承诺； 把…置于； 调拨…供使用， 拨出,False
commitment,kəˈmɪtmənt,n.  承诺， 许诺， 保证； 信奉， 献身； 承担的义务,False
committee,kəˈmɪti,n.  委员会， 全体委员,False
communication,kəˌmju:nɪˈkeɪʃn,n.  通讯， 交流， 交际； 通信工具， 交通联系,False
communism,ˈkɒmjunɪzəm,n.  共产主义,False
communist,ˈkɒmjənɪst,"adj.  共产主义的
n. 共产党员，共产主义者；",False
companion,kəmˈpæniən,"n. 同伴；朋友；指南；手册
v. 陪伴",False
compass,ˈkʌmpəs,n.  罗盘， 指南针； 圆规； 界限， 范围,False
compensate,ˈkɒmpenseɪt,v.  偿还， 补偿， 付报酬,False
compete,kəmˈpi:t,vi.  比赛， 竞争， 对抗,False
competence,ˈkɒmpɪtəns,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入,False
competitor,kəmˈpetɪtə(r),n. 竞争者；参赛者,False
complex,ˈkɒmpleks,"adj.  由许多部分组成的， 复合的； 复杂的， 难懂的
n.  综合体， 集合体； 情结， 夸大的情绪反应",False
component,kəmˈpəʊnənt,"adj. 组成的， 合成的
n. 组成部分， 成分； 元件， 部件 A",False
composition,ˌkɒmpəˈzɪʃn,n. 作品， 作文， 乐曲； 写作， 作曲；结构， 组成， 成分,False
comprehension,ˌkɒmprɪˈhenʃn,n.  理解， 理解力， 领悟； 理解力测验,False
compromise,ˈkɒmprəmaɪz,"vi. 妥协
vt. 危及；放弃
n.  和解； 妥协； 折中",False
compulsory,kəmˈpʌlsəri,"adj. 义务的；必修的；被强制的
n. （花样滑冰、竞技体操等的）规定动作",False
comrade,ˈkɒmreɪd,n. 同志，亲密的同伴,False
concentrate,ˈkɒnsntreɪt,"vi. 全神贯注，全力以赴；集中，聚集
vt. 集中，聚集；浓缩
n.  浓缩物， 浓缩液",False
concept,ˈkɒnsept,n.  概念， 观念； 设想,False
concern,kənˈsɜ:n,"vt. 涉及，关系到；使关心，使担忧
n.  关心， 挂念； 关系； 有关的事， 负责的事； 公司， 企业",False
conclude,kənˈklu:d,"vi.  结束， 终了
vt. 推断出，推论出；缔结，议定",False
conclusion,kənˈklu:ʒn,n.  结论， 推论； 结束， 结尾； 【法】 缔结， 议定,False
concrete,ˈkɒŋkri:t,"adj. 具体的， 有形的， 实质性的
n. 混凝土
vt. 用混凝土修筑， 浇混凝土",False
condemn,kənˈdem,vt.  谴责， 指责； 判…刑， 宣告…有罪,False
conduct,kənˈdʌkt,"n. 举止，行为；指导；管理，实施	[kən'dʌkt]
vt.  进行； 管理， 指挥， 引导； 传输， 传导",False
conductor,kənˈdʌktə(r),n.  管理人； 指导者； 售票员， 列车员； 乐队指挥,False
conference,ˈkɒnfərəns,"n. 会议；讨论；协商；联盟；（正式）讨论会；[工会、工党用语]（每年的）大会
vi. 举行或参加（系列）会议",False
confidential,ˌkɒnfɪˈdenʃl,adj.  秘密的， 机密的； 信任的； 亲密的； 担任机密工作的,False
confirm,kənˈfɜ:m,vt.  证实， 肯定； 进一步确定， 确认； 批准； 加强， 坚定,False
conflict,ˈkɒnflɪkt,"vi.  冲突， 抵触
n.  冲突， 抵触； 争论； 战斗， 战争",False
confuse,kənˈfju:z,vt.  使困惑， 把…弄糊涂； 混淆， 把…混同； 混乱， 搞乱,False
congratulate,kənˈgrætʃuleɪt,vt. 祝贺； 恭喜；自我庆幸,False
congratulation,kənˌgrætʃuˈleɪʃn,"n. (on)祝贺,(pl.)祝贺词",False
conscience,ˈkɒnʃəns,n.  道德心， 良心,False
consensus,kənˈsensəs,n.  一致同意； 多数人的意见； 舆论,False
consequence,ˈkɒnsɪkwəns,n.  结果； 影响； 推理； 重要， 重大,False
conservation,ˌkɒnsəˈveɪʃn,n. 保存； 保护； 保守 <；守恒， 不灭,False
Conservative,kənˈsɜ:vətɪv,"adj. 保守的，守旧的；谨慎的；不时新的，传统的
n.  保守的人",False
considerate,kənˈsɪdərət,adj.  体贴的， 考虑周到的； 替人着想的,False
consideration,kənˌsɪdəˈreɪʃn,n.  考虑， 思考； 体谅， 照顾； 考虑因素， 理由； 报酬,False
consist,kənˈsɪst,"v. (in)在于,存在于;(of)由…组成,由…构成",False
consistent,kənˈsɪstənt,adj. (in)前后一致的；（with）一致，符合,False
constant,ˈkɒnstənt,"adj. 经常的，不断的；坚定的，永恒的，忠实的；持续的，不变的
n.  常数， 恒量",False
constitution,ˌkɒnstɪˈtju:ʃn,n.  宪法， 章程； 体质， 体格； 组成， 形成,False
